NODE,ISO,NodeType,PricingType,State,County,AvgPrice,MaxPrice,MinPrice,AvgCongestion,MaxCongestion,MinCongestion
ALTAD2_7_N006,CAISO,NODE,Real Time,CA,Kern,38.056256,21196.76239,-16.767357,1.429853,215.205755,-155.42527
ALTAPES_7_N001,CAISO,NODE,Real Time,,,40.033513,22212.46617,-46.724327,2.410128,281.771692,-140.029992
ALTAVIEW_LNODED1,CAISO,NODE,Real Time,UT,Salt Lake,30.601807,19739.45583,-17.5525,-3.381654,616.64794,-954.8383
ALTAVIEW_LNODED2,CAISO,NODE,Real Time,UT,Salt Lake,30.601807,19739.45583,-17.5525,-3.381654,616.64794,-954.8383
ALTMMDW_2_N001,CAISO,NODE,Real Time,CA,Napa,36.308261,21866.8129,-23.704242,-1.09503,183.896447,-243.1731
ALTMMDW_2_N007,CAISO,NODE,Real Time,,,36.308261,21866.8129,-23.704242,-1.09503,183.896447,-243.1731
ALTMMDW_2_N010,CAISO,NODE,Real Time,,,36.308261,21866.8129,-23.704242,-1.09503,183.896447,-243.1731
ALTO_6_N001,CAISO,NODE,Real Time,CA,Marin,37.833525,23758.33823,-40.1991,-1.37801,375.17044,-240.599965
ALTO_6_N101,CAISO,NODE,Real Time,CA,Marin,37.833519,23758.33823,-40.1991,-1.37801,375.17044,-240.599965
ALTURAS_LNODE17,CAISO,NODE,Real Time,CA,Modoc,25.488473,20215.166,-305.757492,-9.316575,247.754815,-956.966935
ALTWIND_1_N001,CAISO,NODE,Real Time,CA,Riverside,35.971392,21521.30419,-154.956887,-1.017064,214.477692,-180.8045
AMARGOSA_1_SN001,CAISO,NODE,Real Time,,,41.824121,21608.76689,-324.79752,6.710255,1015.853462,-343.451197
AME_LNODEXF1,CAISO,NODE,Real Time,WA,King,26.393916,20232.16936,-322.337035,-8.485911,624.252232,-956.967035
AMERICFO_LNODED1,CAISO,NODE,Real Time,UT,Utah,30.307003,19457.90601,-17.524822,-3.37236,616.64794,-954.8383
AMERIGAS_1_GN001,CAISO,NODE,Real Time,,,35.659506,21733.28381,-450.365952,-1.607198,1100.680625,-668.562922
AMERIGAS_1_N001,CAISO,NODE,Real Time,CA,Solano,35.659506,21733.28381,-450.365952,-1.607198,1100.680625,-668.562922
